Ga0081607_1001	Methylobacter-123 (UID203) 
Ga0081607_1002	Methylobacter-123 (UID203) 
Ga0081607_1003	Methylobacter-123 (UID203) 
Ga0081607_1004	Methylobacter-123 (UID203) 
Ga0081607_1005	Methylobacter-123 (UID203) 
Ga0081607_1006	Methylobacter-123 (UID203) 
Ga0081607_1007	Methylobacter-123 (UID203) 
Ga0081607_1008	Methylobacter-123 (UID203) 
Ga0081607_1009	Methylobacter-123 (UID203) 
Ga0081607_1010	Methylobacter-123 (UID203) 
Ga0081607_1011	Methylobacter-123 (UID203) 
Ga0081607_1012	Methylobacter-123 (UID203) 
Ga0081607_1013	Methylobacter-123 (UID203) 
Ga0081607_1014	Methylobacter-123 (UID203) 
Ga0081607_1015	Methylobacter-123 (UID203) 
Ga0081607_1016	Methylobacter-123 (UID203) 
Ga0081607_1017	Methylobacter-123 (UID203) 
Ga0081607_1018	Methylobacter-123 (UID203) 
Ga0081607_1019	Methylobacter-123 (UID203) 
Ga0081607_1020	Methylobacter-123 (UID203) 
Ga0081607_1021	Methylobacter-123 (UID203) 
Ga0081607_1022	Methylobacter-123 (UID203) 
Ga0081607_1023	Methylobacter-123 (UID203) 
Ga0081607_1024	Methylobacter-123 (UID203) 
Ga0081607_1025	Methylobacter-123 (UID203) 
Ga0081607_1026	Methylobacter-123 (UID203) 
Ga0081607_1027	Methylobacter-123 (UID203) 
Ga0081607_1028	Methylobacter-123 (UID203) 
Ga0081607_1029	Methylobacter-123 (UID203) 
Ga0081607_1030	Methylobacter-123 (UID203) 
Ga0081607_1031	Methylobacter-123 (UID203) 
Ga0081607_1032	Methylobacter-123 (UID203) 
Ga0081607_1033	Methylobacter-123 (UID203) 
Ga0081607_1034	Methylobacter-123 (UID203) 
Ga0081607_1035	Methylobacter-123 (UID203) 
Ga0081607_1036	Methylobacter-123 (UID203) 
Ga0081607_1037	Methylobacter-123 (UID203) 
Ga0081607_1038	Methylobacter-123 (UID203) 
Ga0081607_1039	Methylobacter-123 (UID203) 
Ga0081607_1040	Methylobacter-123 (UID203) 
Ga0081607_1041	Methylobacter-123 (UID203) 
Ga0081607_1042	Methylobacter-123 (UID203) 
Ga0081607_1043	Methylobacter-123 (UID203) 
Ga0081607_1044	Methylobacter-123 (UID203) 
Ga0081607_1045	Methylobacter-123 (UID203) 
Ga0081607_1046	Methylobacter-123 (UID203) 
Ga0081607_1047	Methylobacter-123 (UID203) 
Ga0081607_1048	Methylobacter-123 (UID203) 
Ga0081607_1049	Methylobacter-123 (UID203) 
Ga0081607_1050	Methylobacter-123 (UID203) 
Ga0081607_1051	Methylobacter-123 (UID203) 
Ga0081607_1052	Methylobacter-123 (UID203) 
Ga0081607_1053	Methylobacter-123 (UID203) 
Ga0081607_1054	Methylobacter-123 (UID203) 
Ga0081607_1055	Methylobacter-123 (UID203) 
Ga0081607_1056	Methylobacter-123 (UID203) 
Ga0081607_1057	Methylobacter-123 (UID203) 
Ga0081607_1058	Methylobacter-123 (UID203) 
Ga0081607_1059	Methylobacter-123 (UID203) 
Ga0081607_1060	Methylobacter-123 (UID203) 
Ga0081607_1061	Methylobacter-123 (UID203) 
Ga0081607_1062	Methylobacter-123 (UID203) 
Ga0081607_1063	Methylobacter-123 (UID203) 
Ga0081607_1064	Methylobacter-123 (UID203) 
Ga0081607_1065	Methylobacter-123 (UID203) 
Ga0081607_1066	Methylobacter-123 (UID203) 
Ga0081607_1067	Methylobacter-123 (UID203) 
Ga0081607_1068	Methylobacter-123 (UID203) 
Ga0081607_1069	Methylobacter-123 (UID203) 
Ga0081607_1070	Methylobacter-123 (UID203) 
Ga0081607_1071	Methylobacter-123 (UID203) 
Ga0081607_1072	Methylobacter-123 (UID203) 
Ga0081607_1073	Methylobacter-123 (UID203) 
Ga0081607_1074	Methylobacter-123 (UID203) 
Ga0081607_1075	Methylobacter-123 (UID203) 
Ga0081607_1076	Methylobacter-123 (UID203) 
Ga0081607_1077	Methylobacter-123 (UID203) 
Ga0081607_1078	Methylobacter-123 (UID203) 
Ga0081607_1079	Methylobacter-123 (UID203) 
Ga0081607_1080	Methylobacter-123 (UID203) 
Ga0081607_1081	Methylobacter-123 (UID203) 
Ga0081607_1082	Methylobacter-123 (UID203) 
Ga0081607_1083	Methylobacter-123 (UID203) 
Ga0081607_1084	Methylobacter-123 (UID203) 
Ga0081607_1085	Methylobacter-123 (UID203) 
Ga0081607_1086	Methylobacter-123 (UID203) 
Ga0081607_1087	Methylobacter-123 (UID203) 
Ga0081607_1088	Methylobacter-123 (UID203) 
Ga0081607_1089	Methylobacter-123 (UID203) 
Ga0081607_1090	Methylobacter-123 (UID203) 
Ga0081607_1091	Methylobacter-123 (UID203) 
Ga0081607_1092	Methylobacter-123 (UID203) 
Ga0081607_1093	Methylobacter-123 (UID203) 
Ga0081607_1094	Methylobacter-123 (UID203) 
Ga0081607_1095	Methylobacter-123 (UID203) 
Ga0081607_1096	Methylobacter-123 (UID203) 
Ga0081607_1097	Methylobacter-123 (UID203) 
Ga0081607_1098	Methylobacter-123 (UID203) 
Ga0081607_1099	Methylobacter-123 (UID203) 
Ga0081607_1100	Methylobacter-123 (UID203) 
Ga0081607_1101	Methylobacter-123 (UID203) 
Ga0081607_1102	Methylobacter-123 (UID203) 
Ga0081607_1103	Methylobacter-123 (UID203) 
Ga0081607_1104	Methylobacter-123 (UID203) 
Ga0081607_1105	Methylobacter-123 (UID203) 
Ga0081607_1106	Methylobacter-123 (UID203) 
Ga0081607_1107	Methylobacter-123 (UID203) 
Ga0081607_1108	Methylobacter-123 (UID203) 
Ga0081607_1109	Methylobacter-123 (UID203) 
Ga0081607_1110	Methylobacter-123 (UID203) 
Ga0081607_1111	Methylobacter-123 (UID203) 
Ga0081607_1112	Methylobacter-123 (UID203) 
Ga0081607_1113	Methylobacter-123 (UID203) 
Ga0081607_1114	Methylobacter-123 (UID203) 
Ga0081607_1115	Methylobacter-123 (UID203) 
Ga0081607_1116	Methylobacter-123 (UID203) 
Ga0081607_1117	Methylobacter-123 (UID203) 
Ga0081607_1118	Methylobacter-123 (UID203) 
Ga0081607_1119	Methylobacter-123 (UID203) 
Ga0081607_1120	Methylobacter-123 (UID203) 
Ga0081607_1121	Methylobacter-123 (UID203) 
Ga0081607_1122	Methylobacter-123 (UID203) 
Ga0081607_1123	Methylobacter-123 (UID203) 
Ga0081607_1124	Methylobacter-123 (UID203) 
Ga0081607_1125	Methylobacter-123 (UID203) 
Ga0081607_1126	Methylobacter-123 (UID203) 
Ga0081607_1127	Methylobacter-123 (UID203) 
Ga0081607_1128	Methylobacter-123 (UID203) 
Ga0081607_1129	Methylobacter-123 (UID203) 
Ga0081607_1130	Methylobacter-123 (UID203) 
Ga0081607_1131	Methylobacter-123 (UID203) 
Ga0081607_1132	Methylobacter-123 (UID203) 
Ga0081607_1133	Methylobacter-123 (UID203) 
Ga0081607_1134	Methylobacter-123 (UID203) 
Ga0081607_1135	Methylobacter-123 (UID203) 
Ga0081607_1136	Methylobacter-123 (UID203) 
Ga0081607_1137	Methylobacter-123 (UID203) 
Ga0081607_1138	Methylobacter-123 (UID203) 
Ga0081607_1139	Methylobacter-123 (UID203) 
Ga0081607_1140	Methylobacter-123 (UID203) 
Ga0081607_1141	Methylobacter-123 (UID203) 
Ga0081607_1142	Methylobacter-123 (UID203) 
Ga0081607_1143	Methylobacter-123 (UID203) 
Ga0081607_1144	Methylobacter-123 (UID203) 
Ga0081607_1145	Methylobacter-123 (UID203) 
Ga0081607_1146	Methylobacter-123 (UID203) 
Ga0081607_1147	Methylobacter-123 (UID203) 
Ga0081607_1148	Methylobacter-123 (UID203) 
Ga0081607_1149	Methylobacter-123 (UID203) 
Ga0081607_1150	Methylobacter-123 (UID203) 
Ga0081607_1151	Methylobacter-123 (UID203) 
Ga0081607_1152	Methylobacter-123 (UID203) 
Ga0081607_1153	Methylobacter-123 (UID203) 
Ga0081607_1154	Methylobacter-123 (UID203) 
Ga0081607_1155	Methylobacter-123 (UID203) 
Ga0081607_1156	Methylobacter-123 (UID203) 
Ga0081607_1157	Methylobacter-123 (UID203) 
Ga0081607_1158	Methylobacter-123 (UID203) 
Ga0081607_1159	Methylobacter-123 (UID203) 
Ga0081607_1160	Methylobacter-123 (UID203) 
Ga0081607_1161	Methylobacter-123 (UID203) 
Ga0081607_1162	Methylobacter-123 (UID203) 
Ga0081607_1163	Methylobacter-123 (UID203) 
Ga0081607_1164	Methylobacter-123 (UID203) 
Ga0081607_1165	Methylobacter-123 (UID203) 
Ga0081607_1166	Methylobacter-123 (UID203) 
Ga0081607_1167	Methylobacter-123 (UID203) 
Ga0081607_1168	Methylobacter-123 (UID203) 
Ga0081607_1169	Methylobacter-123 (UID203) 
Ga0081607_1170	Methylobacter-123 (UID203) 
Ga0081607_1171	Methylobacter-123 (UID203) 
Ga0081607_1172	Methylobacter-123 (UID203) 
Ga0081607_1173	Methylobacter-123 (UID203) 
Ga0081607_1174	Methylobacter-123 (UID203) 
Ga0081607_1175	Methylobacter-123 (UID203) 
Ga0081607_1176	Methylobacter-123 (UID203) 
Ga0081607_1177	Methylobacter-123 (UID203) 
Ga0081607_1178	Methylobacter-123 (UID203) 
Ga0081607_1179	Methylobacter-123 (UID203) 
Ga0081607_1180	Methylobacter-123 (UID203) 
Ga0081607_1181	Methylobacter-123 (UID203) 
Ga0081607_1182	Methylobacter-123 (UID203) 
Ga0081607_1183	Methylobacter-123 (UID203) 
Ga0081607_1184	Methylobacter-123 (UID203) 
Ga0081607_1185	Methylobacter-123 (UID203) 
Ga0081607_1186	Methylobacter-123 (UID203) 
Ga0081607_1187	Methylobacter-123 (UID203) 
Ga0081607_1188	Methylobacter-123 (UID203) 
Ga0081607_1189	Methylobacter-123 (UID203) 
Ga0081607_1190	Methylobacter-123 (UID203) 
Ga0081607_1191	Methylobacter-123 (UID203) 
Ga0081607_1192	Methylobacter-123 (UID203) 
Ga0081607_1193	Methylobacter-123 (UID203) 
Ga0081607_1194	Methylobacter-123 (UID203) 
Ga0081607_1195	Methylobacter-123 (UID203) 
Ga0081607_1196	Methylobacter-123 (UID203) 
Ga0081607_1197	Methylobacter-123 (UID203) 
Ga0081607_1198	Methylobacter-123 (UID203) 
Ga0081607_1199	Methylobacter-123 (UID203) 
Ga0081607_1200	Methylobacter-123 (UID203) 
Ga0081607_1201	Methylobacter-123 (UID203) 
Ga0081607_1202	Methylobacter-123 (UID203) 
Ga0081607_1203	Methylobacter-123 (UID203) 
Ga0081607_1204	Methylobacter-123 (UID203) 
Ga0081607_1205	Methylobacter-123 (UID203) 
Ga0081607_1206	Methylobacter-123 (UID203) 
Ga0081607_1207	Methylobacter-123 (UID203) 
Ga0081607_1208	Methylobacter-123 (UID203) 
Ga0081607_1209	Methylobacter-123 (UID203) 
Ga0081607_1210	Methylobacter-123 (UID203) 
Ga0081607_1211	Methylobacter-123 (UID203) 
Ga0081607_1212	Methylobacter-123 (UID203) 
Ga0081607_1213	Methylobacter-123 (UID203) 
Ga0081607_1214	Methylobacter-123 (UID203) 
Ga0081607_1215	Methylobacter-123 (UID203) 
Ga0081607_1216	Methylobacter-123 (UID203) 
Ga0081607_1217	Methylobacter-123 (UID203) 
Ga0081607_1218	Methylobacter-123 (UID203) 
Ga0081607_1219	Methylobacter-123 (UID203) 
Ga0081607_1220	Methylobacter-123 (UID203) 
Ga0081607_1221	Methylobacter-123 (UID203) 
Ga0081607_1222	Methylobacter-123 (UID203) 
Ga0081607_1223	Methylobacter-123 (UID203) 
Ga0081607_1224	Methylobacter-123 (UID203) 
Ga0081607_1225	Methylobacter-123 (UID203) 
Ga0081607_1226	Methylobacter-123 (UID203) 
Ga0081607_1227	Methylobacter-123 (UID203) 
Ga0081607_1228	Methylobacter-123 (UID203) 
Ga0081607_1229	Methylobacter-123 (UID203) 
Ga0081607_1230	Methylobacter-123 (UID203) 
Ga0081607_1231	Methylobacter-123 (UID203) 
Ga0081607_1232	Methylobacter-123 (UID203) 
Ga0081607_1233	Methylobacter-123 (UID203) 
Ga0081607_1234	Methylobacter-123 (UID203) 
Ga0081607_1235	Methylobacter-123 (UID203) 
Ga0081607_1236	Methylobacter-123 (UID203) 
Ga0081607_1237	Methylobacter-123 (UID203) 
Ga0081607_1238	Methylobacter-123 (UID203) 
Ga0081607_1239	Methylobacter-123 (UID203) 
Ga0081607_1240	Methylobacter-123 (UID203) 
Ga0081607_1241	Methylobacter-123 (UID203) 
Ga0081607_1242	Methylobacter-123 (UID203) 
Ga0081607_1243	Methylobacter-123 (UID203) 
Ga0081607_1244	Methylobacter-123 (UID203) 
Ga0081607_1245	Methylobacter-123 (UID203) 
Ga0081607_1246	Methylobacter-123 (UID203) 
Ga0081607_1247	Methylobacter-123 (UID203) 
Ga0081607_1248	Methylobacter-123 (UID203) 
Ga0081607_1249	Methylobacter-123 (UID203) 
Ga0081607_1250	Methylobacter-123 (UID203) 
Ga0081607_1251	Methylobacter-123 (UID203) 
Ga0081607_1252	Methylobacter-123 (UID203) 
Ga0081607_1253	Methylobacter-123 (UID203) 
Ga0081607_1254	Methylobacter-123 (UID203) 
Ga0081607_1255	Methylobacter-123 (UID203) 
Ga0081607_1256	Methylobacter-123 (UID203) 
Ga0081607_1257	Methylobacter-123 (UID203) 
Ga0081607_1258	Methylobacter-123 (UID203) 
Ga0081607_1259	Methylobacter-123 (UID203) 
Ga0081607_1260	Methylobacter-123 (UID203) 
